ID,Source,Destination,Target,Type,Delivered,Search_Path_Length,Connection_Path_Length,Search_Path,Connection_Path
6199,0,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,0>5,0>5
6200,0,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,3,3,0>5>7>3,0>5>7>3
6201,8,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,8>7,8>7
6202,4,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,2,2,4>6>8,4>6>8
6203,3,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,4,4,3>8>2>0>1,3>8>2>0>1
6204,6,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,6>8,6>8
6205,4,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,1,1,4>6,4>6
6206,0,0,0.901112,class peersim.dht.message.OneWayPingMessage,false,6,0,8>2>0>2>0>2>0,0
6207,2,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,0,0,2,2
6208,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,7>1>4>1>4>1>4,4
6209,2,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,2>0,2>0
6210,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,4,0,9>0>9>0>9,9
6211,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,4,0,9>0>9>0>9,9
6212,2,2,0.901112,class peersim.dht.message.OneWayPingMessage,false,4,0,2>0>2>0>2,2
6213,0,0,0.514105,class peersim.dht.message.OneWayPingMessage,false,4,0,0>9>0>9>0,0
6214,7,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,7>8,7>8
6215,7,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,7>8>6,7>8>6
6216,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,3>8>6>8>6>8>6,6
6217,2,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>3,2>8>3
6218,9,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,9>0>5,9>0>5
6219,9,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,3,3,9>0>5>7,9>0>5>7
6220,0,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,0>5,0>5
6221,0,0,0.514105,class peersim.dht.message.OneWayPingMessage,false,4,0,0>9>0>9>0,0
6222,2,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,3,3,2>8>7>5,2>8>7>5
6223,7,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,7>1,7>1
6224,6,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,6>4,6>4
6225,0,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,3,3,0>5>7>3,0>5>7>3
6226,0,0,0.901112,class peersim.dht.message.OneWayPingMessage,false,6,0,8>2>0>2>0>2>0,0
6227,7,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,7>3,7>3
6228,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,4,0,4>1>4>1>4,4
6229,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
6230,2,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,2>0,2>0
6231,7,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,7>1,7>1
